cleft,cleft,cright,cright,energy,direction,name,visible
Ni,H2(g),2H*,,0,<->,R1,
2H*,CO2(g),CO2*_2H*,,0,<->,R2,
CO2*_2H*,,COOH*_H*,,0.534012343430959,<->,R3,
COOH*_H*,,CO*_OH*_H*,,0.398594221793019,<->,R4,
CO*_OH*_H*,,CO*_H2O*,,0.005329091625981,<->,R5,
CO*_H2O*,,H2O*,CO(g),0,<->,R6,
H2O*,,Ni,H2O(g),0,<->,R7,
CO2*_2H*,,CO*_O*_2H*,,0.119831639254699,<->,R8,
CO*_O*_2H*,,CO*_OH*_H*,,-0.586002624396997,<->,R9,
CO*_H2O*,,CO*,H2O(g),0,<->,R10,
CO*,H2(g),CO*_2H*,,0,<->,R11,
CO*_2H*,,CHO*_H*,,-0.029499470241944,<->,R12,
CHO*_H*,,CH*_H*_O*,,0.593982925557839,<->,R13,
CH*_H*_O*,H2(g),CH*_3H*_O*,,0,<->,R14,
CH*_3H*_O*,,CH*_2H*_OH*,,-0.434078156609985,<->,R15,
CH*_2H*_OH*,,CH*_H*_H2O*,,0.157253559413221,<->,R16,
CH*_H*_H2O*,,CH*_H*,H2O(g),0,<->,R17,
CH*_H*,,CH2*,,-0.324754782343234,<->,R18,
CH2*,H2(g),CH2*_2H*,,0,<->,R19,
CH2*_2H*,,CH3*_H*,,-0.492134004044601,<->,R20,
CH3*_H*,,CH4*,,-0.123037348043454,<->,R21,
CH4*,,Ni,CH4(g),0,<->,R22,
CO*_2H*,,COH*_H*,,0.202540578175558,<->,R23,
COH*_H*,,C*_OH*_H*,,1.20022949141003,<->,R24,
C*_OH*_H*,,C*_H2O*,,1.13573240127721,<->,R25,
C*_H2O*,,C*,H2O(g),0,<->,R26,
C*,H2(g),C*_2H*,,0,<->,R27,
C*_2H*,,CH*_H*,,0.192277878681125,<->,R28,
CHO*_H*,,CHOH*,,0.585018977426671,<->,R29,
CHOH*,,CH*_OH*,,0.913999330658044,<->,R30,
CH*_OH*,H2(g),CH*_2H*_OH*,,0,<->,R31,
CHOH*,H2(g),CHOH*_2H*,,0,<->,R32,
CHOH*_2H*,,CH2OH*_H*,,0.731778709545097,<->,R33,
CH2OH*_H*,,CH3OH*,,0.852685504542933,<->,R34,
CH3OH*,,Ni,CH3OH(g),0,<->,R35,
COH*_H*,,CHOH*,,0.189576939071458,<->,R36,
CH2OH*_H*,,CH2*_OH*_H*,,1.10481310242562,<->,R37,
CH2*_OH*_H*,,CH2*_H2O*,,-0.11658773890349,<->,R38,
CH2*_H2O*,,CH2*,H2O(g),0,<->,R39,
CO*_2H*,,2H*,CO(g),0,<->,R40,
